Match Number,Round Number,Date,Location,Home Team,Away Team,Result
465,9,20/12/2022 19:00,Ball Arena,Denver Nuggets,Memphis Grizzlies,
466,9,21/12/2022 16:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Milwaukee Bucks,
467,9,21/12/2022 16:00,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,
468,9,21/12/2022 16:30,State Farm Arena,Atlanta Hawks,Chicago Bulls,
469,9,21/12/2022 16:30,TD Garden,Boston Celtics,Indiana Pacers,
470,9,21/12/2022 16:30,Barclays Center,Brooklyn Nets,Golden State Warriors,
471,9,21/12/2022 16:30,Madison Square Garden,New York Knicks,Toronto Raptors,
472,9,21/12/2022 17:00,Toyota Center,Houston Rockets,Orlando Magic,
473,9,21/12/2022 17:00,Target Center,Minnesota Timberwolves,Dallas Mavericks,
474,9,21/12/2022 17:00,Paycom Center,Oklahoma City Thunder,Portland Trail Blazers,
475,9,21/12/2022 19:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,
476,9,21/12/2022 19:30,Crypto.com Arena,LA Clippers,Charlotte Hornets,
477,10,22/12/2022 17:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,
478,10,22/12/2022 18:00,Vivint Arena,Utah Jazz,Washington Wizards,
479,10,23/12/2022 16:00,Amway Center,Orlando Magic,San Antonio Spurs,
480,10,23/12/2022 16:00,Wells Fargo Center,Philadelphia 76ers,LA Clippers,
481,10,23/12/2022 16:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,
482,10,23/12/2022 16:30,TD Garden,Boston Celtics,Minnesota Timberwolves,
483,10,23/12/2022 16:30,Barclays Center,Brooklyn Nets,Milwaukee Bucks,
484,10,23/12/2022 16:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Toronto Raptors,
485,10,23/12/2022 16:30,Madison Square Garden,New York Knicks,Chicago Bulls,
486,10,23/12/2022 17:00,FTX Arena,Miami Heat,Indiana Pacers,
487,10,23/12/2022 17:00,Toyota Center,Houston Rockets,Dallas Mavericks,
488,10,23/12/2022 17:00,Paycom Center,Oklahoma City Thunder,New Orleans Pelicans,
489,10,23/12/2022 18:00,Ball Arena,Denver Nuggets,Portland Trail Blazers,
490,10,23/12/2022 19:00,Footprint Center,Phoenix Suns,Memphis Grizzlies,
491,10,23/12/2022 19:00,Golden 1 Center,Sacramento Kings,Washington Wizards,
492,10,23/12/2022 19:30,Crypto.com Arena,Los Angeles Lakers,Charlotte Hornets,
493,10,25/12/2022 09:00,Madison Square Garden,New York Knicks,Philadelphia 76ers,
494,10,25/12/2022 11:30,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,
495,10,25/12/2022 14:00,TD Garden,Boston Celtics,Milwaukee Bucks,
496,10,25/12/2022 17:00,Chase Center,Golden State Warriors,Memphis Grizzlies,
497,10,25/12/2022 19:30,Ball Arena,Denver Nuggets,Phoenix Suns,
498,10,26/12/2022 16:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Brooklyn Nets,
499,10,26/12/2022 16:00,Little Caesars Arena,Detroit Pistons,LA Clippers,
500,10,26/12/2022 16:30,FTX Arena,Miami Heat,Minnesota Timberwolves,
501,10,26/12/2022 17:00,United Center,Chicago Bulls,Houston Rockets,
502,10,26/12/2022 17:00,Smoothie King Center,New Orleans Pelicans,Indiana Pacers,
503,10,26/12/2022 17:00,AT&T Center,San Antonio Spurs,Utah Jazz,
504,10,26/12/2022 19:00,Moda Center,Portland Trail Blazers,Charlotte Hornets,
505,10,27/12/2022 16:00,Amway Center,Orlando Magic,Los Angeles Lakers,
506,10,27/12/2022 16:00,Capital One Arena,Washington Wizards,Philadelphia 76ers,
507,10,27/12/2022 16:30,TD Garden,Boston Celtics,Houston Rockets,
508,10,27/12/2022 16:30,Gainbridge Fieldhouse,Indiana Pacers,Atlanta Hawks,
509,10,27/12/2022 16:30,Scotiabank Arena,Toronto Raptors,LA Clippers,
510,10,27/12/2022 17:00,FedExForum,Memphis Grizzlies,Phoenix Suns,
511,10,27/12/2022 17:00,Paycom Center,Oklahoma City Thunder,San Antonio Spurs,
512,10,27/12/2022 17:30,American Airlines Center,Dallas Mavericks,New York Knicks,
513,10,27/12/2022 19:00,Chase Center,Golden State Warriors,Charlotte Hornets,
514,10,27/12/2022 19:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,
515,10,28/12/2022 16:00,Little Caesars Arena,Detroit Pistons,Orlando Magic,
516,10,28/12/2022 16:00,Capital One Arena,Washington Wizards,Phoenix Suns,
517,10,28/12/2022 16:30,State Farm Arena,Atlanta Hawks,Brooklyn Nets,
518,10,28/12/2022 16:30,FTX Arena,Miami Heat,Los Angeles Lakers,
519,10,28/12/2022 17:00,United Center,Chicago Bulls,Milwaukee Bucks,
520,10,28/12/2022 17:00,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,
521,10,28/12/2022 19:00,Chase Center,Golden State Warriors,Utah Jazz,
522,10,28/12/2022 19:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,
523,11,29/12/2022 16:00,Spectrum Center,Charlotte Hornets,Oklahoma City Thunder,
524,11,29/12/2022 16:00,Gainbridge Fieldhouse,Indiana Pacers,Cleveland Cavaliers,
525,11,29/12/2022 16:30,TD Garden,Boston Celtics,LA Clippers,
526,11,29/12/2022 16:30,Scotiabank Arena,Toronto Raptors,Memphis Grizzlies,
527,11,29/12/2022 17:00,AT&T Center,San Antonio Spurs,New York Knicks,
528,11,29/12/2022 17:30,American Airlines Center,Dallas Mavericks,Houston Rockets,
529,11,30/12/2022 16:00,Amway Center,Orlando Magic,Washington Wizards,
530,11,30/12/2022 16:30,State Farm Arena,Atlanta Hawks,Los Angeles Lakers,
531,11,30/12/2022 16:30,Scotiabank Arena,Toronto Raptors,Phoenix Suns,
532,11,30/12/2022 17:00,United Center,Chicago Bulls,Detroit Pistons,
533,11,30/12/2022 17:00,Fiserv Forum,Milwaukee Bucks,Minnesota Timberwolves,
534,11,30/12/2022 17:30,Smoothie King Center,New Orleans Pelicans,Philadelphia 76ers,
535,11,30/12/2022 18:00,Ball Arena,Denver Nuggets,Miami Heat,
536,11,30/12/2022 19:00,Chase Center,Golden State Warriors,Portland Trail Blazers,
537,11,30/12/2022 19:00,Golden 1 Center,Sacramento Kings,Utah Jazz,
538,11,31/12/2022 12:00,Gainbridge Fieldhouse,Indiana Pacers,LA Clippers,
539,11,31/12/2022 16:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,
540,11,31/12/2022 16:00,United Center,Chicago Bulls,Cleveland Cavaliers,
541,11,31/12/2022 16:00,Toyota Center,Houston Rockets,New York Knicks,
542,11,31/12/2022 16:00,AT&T Center,San Antonio Spurs,Dallas Mavericks,
543,11,31/12/2022 17:00,FedExForum,Memphis Grizzlies,New Orleans Pelicans,
544,11,31/12/2022 17:00,Target Center,Minnesota Timberwolves,Detroit Pistons,
545,11,31/12/2022 17:00,Paycom Center,Oklahoma City Thunder,Philadelphia 76ers,
546,11,31/12/2022 18:00,Vivint Arena,Utah Jazz,Miami Heat,
547,11,01/01/2023 17:00,FedExForum,Memphis Grizzlies,Sacramento Kings,
548,11,01/01/2023 17:00,Fiserv Forum,Milwaukee Bucks,Washington Wizards,
549,11,01/01/2023 17:00,Ball Arena,Denver Nuggets,Boston Celtics,
550,11,02/01/2023 12:00,Madison Square Garden,New York Knicks,Phoenix Suns,
551,11,02/01/2023 16:00,Spectrum Center,Charlotte Hornets,Los Angeles Lakers,
552,11,02/01/2023 16:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Chicago Bulls,
553,11,02/01/2023 16:00,Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,
554,11,02/01/2023 16:00,Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,
555,11,02/01/2023 16:30,Barclays Center,Brooklyn Nets,San Antonio Spurs,
556,11,02/01/2023 17:00,Toyota Center,Houston Rockets,Dallas Mavericks,
557,11,02/01/2023 17:00,Target Center,Minnesota Timberwolves,Denver Nuggets,
558,11,02/01/2023 19:00,Chase Center,Golden State Warriors,Atlanta Hawks,
559,11,02/01/2023 19:00,Moda Center,Portland Trail Blazers,Detroit Pistons,
560,11,02/01/2023 19:30,Crypto.com Arena,LA Clippers,Miami Heat,
561,11,03/01/2023 17:00,Fiserv Forum,Milwaukee Bucks,Washington Wizards,
562,11,03/01/2023 17:00,Paycom Center,Oklahoma City Thunder,Boston Celtics,
563,11,03/01/2023 18:00,Vivint Arena,Utah Jazz,Sacramento Kings,
564,11,04/01/2023 16:00,Spectrum Center,Charlotte Hornets,Memphis Grizzlies,
565,11,04/01/2023 16:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Phoenix Suns,
566,11,04/01/2023 16:00,Amway Center,Orlando Magic,Oklahoma City Thunder,
567,11,04/01/2023 16:00,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,
568,11,04/01/2023 16:30,Madison Square Garden,New York Knicks,San Antonio Spurs,
569,11,04/01/2023 16:30,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,
570,11,04/01/2023 17:00,United Center,Chicago Bulls,Brooklyn Nets,
571,11,04/01/2023 17:00,Target Center,Minnesota Timberwolves,Portland Trail Blazers,
572,11,04/01/2023 17:00,Smoothie King Center,New Orleans Pelicans,Houston Rockets,
573,11,04/01/2023 19:00,Chase Center,Golden State Warriors,Detroit Pistons,
574,11,04/01/2023 19:00,Crypto.com Arena,Los Angeles Lakers,Miami Heat,
575,11,04/01/2023 19:00,Golden 1 Center,Sacramento Kings,Atlanta Hawks,
576,12,05/01/2023 16:00,Amway Center,Orlando Magic,Memphis Grizzlies,
577,12,05/01/2023 16:30,American Airlines Center,Dallas Mavericks,Boston Celtics,
578,12,05/01/2023 17:00,Toyota Center,Houston Rockets,Utah Jazz,
579,12,05/01/2023 19:00,Ball Arena,Denver Nuggets,LA Clippers,
580,12,06/01/2023 16:00,Gainbridge Fieldhouse,Indiana Pacers,Portland Trail Blazers,
581,12,06/01/2023 16:30,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,
582,12,06/01/2023 16:30,Scotiabank Arena,Toronto Raptors,New York Knicks,
583,12,06/01/2023 17:00,Fiserv Forum,Milwaukee Bucks,Charlotte Hornets,
584,12,06/01/2023 17:00,Paycom Center,Oklahoma City Thunder,Washington Wizards,
585,12,06/01/2023 17:00,AT&T Center,San Antonio Spurs,Detroit Pistons,
586,12,06/01/2023 17:30,Smoothie King Center,New Orleans Pelicans,Brooklyn Nets,
587,12,06/01/2023 18:00,Target Center,Minnesota Timberwolves,LA Clippers,
588,12,06/01/2023 18:00,Ball Arena,Denver Nuggets,Cleveland Cavaliers,
589,12,06/01/2023 19:00,Footprint Center,Phoenix Suns,Miami Heat,
590,12,06/01/2023 19:30,Crypto.com Arena,Los Angeles Lakers,Atlanta Hawks,
591,12,07/01/2023 15:00,AT&T Center,San Antonio Spurs,Boston Celtics,
592,12,07/01/2023 17:00,United Center,Chicago Bulls,Utah Jazz,
593,12,07/01/2023 17:00,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,
594,12,07/01/2023 17:30,Chase Center,Golden State Warriors,Orlando Magic,
595,12,07/01/2023 19:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,
596,12,08/01/2023 12:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,
597,12,08/01/2023 12:30,Scotiabank Arena,Toronto Raptors,Portland Trail Blazers,
598,12,08/01/2023 14:00,Gainbridge Fieldhouse,Indiana Pacers,Charlotte Hornets,
599,12,08/01/2023 15:00,FTX Arena,Miami Heat,Brooklyn Nets,
600,12,08/01/2023 15:00,FedExForum,Memphis Grizzlies,Utah Jazz,
601,12,08/01/2023 16:00,Toyota Center,Houston Rockets,Minnesota Timberwolves,
602,12,08/01/2023 16:00,Paycom Center,Oklahoma City Thunder,Dallas Mavericks,
603,12,08/01/2023 17:00,Footprint Center,Phoenix Suns,Cleveland Cavaliers,
604,12,08/01/2023 18:00,Crypto.com Arena,LA Clippers,Atlanta Hawks,
605,12,09/01/2023 16:00,Capital One Arena,Washington Wizards,New Orleans Pelicans,
606,12,09/01/2023 16:30,TD Garden,Boston Celtics,Chicago Bulls,
607,12,09/01/2023 16:30,Madison Square Garden,New York Knicks,Milwaukee Bucks,
608,12,09/01/2023 17:00,FedExForum,Memphis Grizzlies,San Antonio Spurs,
609,12,09/01/2023 18:00,Ball Arena,Denver Nuggets,Los Angeles Lakers,
610,12,09/01/2023 19:00,Golden 1 Center,Sacramento Kings,Orlando Magic,
611,12,10/01/2023 16:30,FTX Arena,Miami Heat,Oklahoma City Thunder,
612,12,10/01/2023 16:30,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,
613,12,10/01/2023 16:30,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,
614,12,10/01/2023 18:00,Vivint Arena,Utah Jazz,Cleveland Cavaliers,
615,12,10/01/2023 19:00,Chase Center,Golden State Warriors,Phoenix Suns,
616,12,10/01/2023 19:00,Moda Center,Portland Trail Blazers,Orlando Magic,
617,12,10/01/2023 19:30,Crypto.com Arena,LA Clippers,Dallas Mavericks,
618,12,11/01/2023 16:00,Little Caesars Arena,Detroit Pistons,Minnesota Timberwolves,
619,12,11/01/2023 16:00,Capital One Arena,Washington Wizards,Chicago Bulls,
620,12,11/01/2023 16:30,State Farm Arena,Atlanta Hawks,Milwaukee Bucks,
621,12,11/01/2023 16:30,TD Garden,Boston Celtics,New Orleans Pelicans,
622,12,11/01/2023 16:30,Madison Square Garden,New York Knicks,Indiana Pacers,
623,12,11/01/2023 17:00,FedExForum,Memphis Grizzlies,San Antonio Spurs,
624,12,11/01/2023 18:00,Ball Arena,Denver Nuggets,Phoenix Suns,
625,12,11/01/2023 19:00,Golden 1 Center,Sacramento Kings,Houston Rockets,
626,13,12/01/2023 16:00,Wells Fargo Center,Philadelphia 76ers,Oklahoma City Thunder,
627,13,12/01/2023 16:30,Barclays Center,Brooklyn Nets,Boston Celtics,
628,13,12/01/2023 16:30,FTX Arena,Miami Heat,Milwaukee Bucks,
629,13,12/01/2023 16:30,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,
630,13,12/01/2023 19:00,Crypto.com Arena,Los Angeles Lakers,Dallas Mavericks,
631,13,12/01/2023 19:00,Moda Center,Portland Trail Blazers,Cleveland Cavaliers,
632,13,13/01/2023 16:00,Little Caesars Arena,Detroit Pistons,New Orleans Pelicans,
633,13,13/01/2023 16:00,Gainbridge Fieldhouse,Indiana Pacers,Atlanta Hawks,
634,13,13/01/2023 16:00,Capital One Arena,Washington Wizards,New York Knicks,
635,13,13/01/2023 16:30,Alamodome,San Antonio Spurs,Golden State Warriors,
636,13,13/01/2023 17:00,United Center,Chicago Bulls,Oklahoma City Thunder,
637,13,13/01/2023 17:00,Target Center,Minnesota Timberwolves,Phoenix Suns,
638,13,13/01/2023 18:00,Vivint Arena,Utah Jazz,Orlando Magic,
639,13,13/01/2023 19:00,Crypto.com Arena,LA Clippers,Denver Nuggets,
640,13,13/01/2023 19:00,Golden 1 Center,Sacramento Kings,Houston Rockets,
641,13,14/01/2023 10:00,FTX Arena,Miami Heat,Milwaukee Bucks,
642,13,14/01/2023 16:00,Spectrum Center,Charlotte Hornets,Boston Celtics,
643,13,14/01/2023 16:00,Gainbridge Fieldhouse,Indiana Pacers,Memphis Grizzlies,
644,13,14/01/2023 16:30,Scotiabank Arena,Toronto Raptors,Atlanta Hawks,
645,13,14/01/2023 17:00,Target Center,Minnesota Timberwolves,Cleveland Cavaliers,
646,13,14/01/2023 18:00,Vivint Arena,Utah Jazz,Philadelphia 76ers,
647,13,14/01/2023 19:00,Moda Center,Portland Trail Blazers,Dallas Mavericks,
648,13,15/01/2023 10:00,Little Caesars Arena,Detroit Pistons,New York Knicks,
649,13,15/01/2023 12:00,Crypto.com Arena,LA Clippers,Houston Rockets,
650,13,15/01/2023 12:30,United Center,Chicago Bulls,Golden State Warriors,
651,13,15/01/2023 15:00,Barclays Center,Brooklyn Nets,Oklahoma City Thunder,
652,13,15/01/2023 16:00,AT&T Center,San Antonio Spurs,Sacramento Kings,
653,13,15/01/2023 17:00,Ball Arena,Denver Nuggets,Orlando Magic,
654,13,15/01/2023 18:00,Moda Center,Portland Trail Blazers,Dallas Mavericks,
655,13,15/01/2023 18:30,Crypto.com Arena,Los Angeles Lakers,Philadelphia 76ers,
656,13,16/01/2023 10:00,Spectrum Center,Charlotte Hornets,Boston Celtics,
657,13,16/01/2023 11:30,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,
658,13,16/01/2023 12:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New Orleans Pelicans,
659,13,16/01/2023 12:00,Madison Square Garden,New York Knicks,Toronto Raptors,
660,13,16/01/2023 12:00,Capital One Arena,Washington Wizards,Golden State Warriors,
661,13,16/01/2023 12:30,State Farm Arena,Atlanta Hawks,Miami Heat,
662,13,16/01/2023 13:00,Target Center,Minnesota Timberwolves,Utah Jazz,
663,13,16/01/2023 15:00,FedExForum,Memphis Grizzlies,Phoenix Suns,
664,13,16/01/2023 19:30,Crypto.com Arena,Los Angeles Lakers,Houston Rockets,
665,13,17/01/2023 16:30,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,
666,13,17/01/2023 17:00,AT&T Center,San Antonio Spurs,Brooklyn Nets,
667,13,17/01/2023 18:00,Ball Arena,Denver Nuggets,Portland Trail Blazers,
668,13,17/01/2023 19:00,Crypto.com Arena,LA Clippers,Philadelphia 76ers,
669,13,18/01/2023 16:30,Madison Square Garden,New York Knicks,Washington Wizards,
670,13,18/01/2023 16:30,American Airlines Center,Dallas Mavericks,Atlanta Hawks,
671,13,18/01/2023 17:00,Toyota Center,Houston Rockets,Charlotte Hornets,
672,13,18/01/2023 17:00,FedExForum,Memphis Grizzlies,Cleveland Cavaliers,
673,13,18/01/2023 17:00,Smoothie King Center,New Orleans Pelicans,Miami Heat,
674,13,18/01/2023 17:00,Paycom Center,Oklahoma City Thunder,Indiana Pacers,
675,13,18/01/2023 18:00,Vivint Arena,Utah Jazz,LA Clippers,
676,13,18/01/2023 19:00,Ball Arena,Denver Nuggets,Minnesota Timberwolves,
677,13,18/01/2023 19:30,Crypto.com Arena,Los Angeles Lakers,Sacramento Kings,
678,14,19/01/2023 12:00,Accor Arena,Detroit Pistons,Chicago Bulls,
679,14,19/01/2023 16:30,TD Garden,Boston Celtics,Golden State Warriors,
680,14,19/01/2023 17:00,Target Center,Minnesota Timberwolves,Toronto Raptors,
681,14,19/01/2023 19:00,Footprint Center,Phoenix Suns,Brooklyn Nets,
682,14,19/01/2023 19:00,Moda Center,Portland Trail Blazers,Philadelphia 76ers,
683,14,20/01/2023 16:00,Amway Center,Orlando Magic,New Orleans Pelicans,
684,14,20/01/2023 16:30,State Farm Arena,Atlanta Hawks,New York Knicks,
685,14,20/01/2023 16:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Golden State Warriors,
686,14,20/01/2023 16:30,American Airlines Center,Dallas Mavericks,Miami Heat,
687,14,20/01/2023 17:00,AT&T Center,San Antonio Spurs,LA Clippers,
688,14,20/01/2023 18:00,Ball Arena,Denver Nuggets,Indiana Pacers,
689,14,20/01/2023 18:00,Vivint Arena,Utah Jazz,Brooklyn Nets,
690,14,20/01/2023 19:00,Crypto.com Arena,Los Angeles Lakers,Memphis Grizzlies,
691,14,20/01/2023 19:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,
692,14,21/01/2023 14:00,Scotiabank Arena,Toronto Raptors,Boston Celtics,
693,14,21/01/2023 16:00,Capital One Arena,Washington Wizards,Orlando Magic,
694,14,21/01/2023 16:30,State Farm Arena,Atlanta Hawks,Charlotte Hornets,
695,14,21/01/2023 16:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Milwaukee Bucks,
696,14,21/01/2023 17:00,Target Center,Minnesota Timberwolves,Houston Rockets,
697,14,21/01/2023 18:00,Footprint Center,Phoenix Suns,Indiana Pacers,
698,14,21/01/2023 19:00,Golden 1 Center,Sacramento Kings,Philadelphia 76ers,
699,14,22/01/2023 12:30,FTX Arena,Miami Heat,New Orleans Pelicans,
700,14,22/01/2023 15:00,Scotiabank Arena,Toronto Raptors,New York Knicks,
701,14,22/01/2023 16:30,American Airlines Center,Dallas Mavericks,LA Clippers,
702,14,22/01/2023 17:00,Ball Arena,Denver Nuggets,Oklahoma City Thunder,
703,14,22/01/2023 17:00,Footprint Center,Phoenix Suns,Memphis Grizzlies,
704,14,22/01/2023 17:30,Chase Center,Golden State Warriors,Brooklyn Nets,
705,14,22/01/2023 18:00,Moda Center,Portland Trail Blazers,Los Angeles Lakers,
706,14,23/01/2023 16:00,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,
707,14,23/01/2023 16:00,Amway Center,Orlando Magic,Boston Celtics,
708,14,23/01/2023 17:00,United Center,Chicago Bulls,Atlanta Hawks,
709,14,23/01/2023 17:00,Toyota Center,Houston Rockets,Minnesota Timberwolves,
710,14,23/01/2023 18:00,Vivint Arena,Utah Jazz,Charlotte Hornets,
711,14,23/01/2023 19:00,Moda Center,Portland Trail Blazers,San Antonio Spurs,
712,14,23/01/2023 19:30,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,
713,14,24/01/2023 16:00,Gainbridge Fieldhouse,Indiana Pacers,Chicago Bulls,
714,14,24/01/2023 16:30,FTX Arena,Miami Heat,Boston Celtics,
715,14,24/01/2023 16:30,Madison Square Garden,New York Knicks,Cleveland Cavaliers,
716,14,24/01/2023 17:00,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,
717,14,24/01/2023 17:30,American Airlines Center,Dallas Mavericks,Washington Wizards,
718,14,24/01/2023 18:00,Footprint Center,Phoenix Suns,Charlotte Hornets,
719,14,24/01/2023 19:00,Crypto.com Arena,Los Angeles Lakers,LA Clippers,
720,14,25/01/2023 16:00,Amway Center,Orlando Magic,Indiana Pacers,
