Match Number,Round Number,Date,Location,Home Team,Away Team,Result
721,14,25/01/2023 16:30,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,
722,14,25/01/2023 17:00,Toyota Center,Houston Rockets,Washington Wizards,
723,14,25/01/2023 17:00,Fiserv Forum,Milwaukee Bucks,Denver Nuggets,
724,14,25/01/2023 17:00,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,
725,14,25/01/2023 17:00,Paycom Center,Oklahoma City Thunder,Atlanta Hawks,
726,14,25/01/2023 19:00,Chase Center,Golden State Warriors,Memphis Grizzlies,
727,14,25/01/2023 19:00,Moda Center,Portland Trail Blazers,Utah Jazz,
728,14,25/01/2023 19:00,Golden 1 Center,Sacramento Kings,Toronto Raptors,
729,14,25/01/2023 19:30,Crypto.com Arena,Los Angeles Lakers,San Antonio Spurs,
730,15,26/01/2023 16:30,TD Garden,Boston Celtics,New York Knicks,
731,15,26/01/2023 16:30,Barclays Center,Brooklyn Nets,Detroit Pistons,
732,15,26/01/2023 16:30,Spectrum Center,Charlotte Hornets,Chicago Bulls,
733,15,26/01/2023 17:00,Toyota Center,Houston Rockets,Cleveland Cavaliers,
734,15,26/01/2023 19:00,Footprint Center,Phoenix Suns,Dallas Mavericks,
735,15,26/01/2023 19:30,Crypto.com Arena,LA Clippers,San Antonio Spurs,
736,15,27/01/2023 16:00,Gainbridge Fieldhouse,Indiana Pacers,Milwaukee Bucks,
737,15,27/01/2023 16:30,Target Center,Minnesota Timberwolves,Memphis Grizzlies,
738,15,27/01/2023 17:00,FTX Arena,Miami Heat,Orlando Magic,
739,15,27/01/2023 17:00,Paycom Center,Oklahoma City Thunder,Cleveland Cavaliers,
740,15,27/01/2023 19:00,Chase Center,Golden State Warriors,Toronto Raptors,
741,15,28/01/2023 12:00,Wells Fargo Center,Philadelphia 76ers,Denver Nuggets,
742,15,28/01/2023 14:30,Barclays Center,Brooklyn Nets,New York Knicks,
743,15,28/01/2023 16:00,Little Caesars Arena,Detroit Pistons,Houston Rockets,
744,15,28/01/2023 16:00,Amway Center,Orlando Magic,Chicago Bulls,
745,15,28/01/2023 16:30,State Farm Arena,Atlanta Hawks,LA Clippers,
746,15,28/01/2023 17:00,Target Center,Minnesota Timberwolves,Sacramento Kings,
747,15,28/01/2023 17:00,Smoothie King Center,New Orleans Pelicans,Washington Wizards,
748,15,28/01/2023 17:00,AT&T Center,San Antonio Spurs,Phoenix Suns,
749,15,28/01/2023 17:30,TD Garden,Boston Celtics,Los Angeles Lakers,
750,15,28/01/2023 18:00,Vivint Arena,Utah Jazz,Dallas Mavericks,
751,15,28/01/2023 19:00,Moda Center,Portland Trail Blazers,Toronto Raptors,
752,15,29/01/2023 10:00,Spectrum Center,Charlotte Hornets,Miami Heat,
753,15,29/01/2023 15:00,FedExForum,Memphis Grizzlies,Indiana Pacers,
754,15,29/01/2023 16:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,LA Clippers,
755,15,29/01/2023 17:00,Fiserv Forum,Milwaukee Bucks,New Orleans Pelicans,
756,15,30/01/2023 16:00,Wells Fargo Center,Philadelphia 76ers,Orlando Magic,
757,15,30/01/2023 16:30,Barclays Center,Brooklyn Nets,Los Angeles Lakers,
758,15,30/01/2023 17:00,Target Center,Minnesota Timberwolves,Sacramento Kings,
759,15,30/01/2023 17:00,Paycom Center,Oklahoma City Thunder,Golden State Warriors,
760,15,30/01/2023 17:00,AT&T Center,San Antonio Spurs,Washington Wizards,
761,15,30/01/2023 17:30,American Airlines Center,Dallas Mavericks,Detroit Pistons,
762,15,30/01/2023 18:00,Footprint Center,Phoenix Suns,Toronto Raptors,
763,15,30/01/2023 19:00,Moda Center,Portland Trail Blazers,Atlanta Hawks,
764,15,31/01/2023 16:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Miami Heat,
765,15,31/01/2023 16:30,Madison Square Garden,New York Knicks,Los Angeles Lakers,
766,15,31/01/2023 17:00,United Center,Chicago Bulls,LA Clippers,
767,15,31/01/2023 17:00,Fiserv Forum,Milwaukee Bucks,Charlotte Hornets,
768,15,31/01/2023 19:00,Ball Arena,Denver Nuggets,New Orleans Pelicans,
769,15,01/02/2023 16:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,
770,15,01/02/2023 16:00,Wells Fargo Center,Philadelphia 76ers,Orlando Magic,
771,15,01/02/2023 16:00,FedExForum,Memphis Grizzlies,Portland Trail Blazers,
772,15,01/02/2023 16:30,TD Garden,Boston Celtics,Brooklyn Nets,
773,15,01/02/2023 17:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,
774,15,01/02/2023 17:00,Target Center,Minnesota Timberwolves,Golden State Warriors,
775,15,01/02/2023 17:00,AT&T Center,San Antonio Spurs,Sacramento Kings,
776,15,01/02/2023 18:00,Vivint Arena,Utah Jazz,Toronto Raptors,
777,15,01/02/2023 19:00,Footprint Center,Phoenix Suns,Atlanta Hawks,
778,16,02/02/2023 16:00,Gainbridge Fieldhouse,Indiana Pacers,Los Angeles Lakers,
779,16,02/02/2023 16:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Memphis Grizzlies,
780,16,02/02/2023 16:30,Madison Square Garden,New York Knicks,Miami Heat,
781,16,02/02/2023 17:00,United Center,Chicago Bulls,Charlotte Hornets,
782,16,02/02/2023 17:30,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,
783,16,02/02/2023 18:00,Ball Arena,Denver Nuggets,Golden State Warriors,
784,16,02/02/2023 19:00,Fiserv Forum,Milwaukee Bucks,LA Clippers,
785,16,03/02/2023 16:00,Little Caesars Arena,Detroit Pistons,Charlotte Hornets,
786,16,03/02/2023 16:00,Gainbridge Fieldhouse,Indiana Pacers,Sacramento Kings,
787,16,03/02/2023 16:00,Capital One Arena,Washington Wizards,Portland Trail Blazers,
788,16,03/02/2023 16:30,TD Garden,Boston Celtics,Phoenix Suns,
789,16,03/02/2023 17:00,Toyota Center,Houston Rockets,Toronto Raptors,
790,16,03/02/2023 17:00,Target Center,Minnesota Timberwolves,Orlando Magic,
791,16,03/02/2023 17:00,AT&T Center,San Antonio Spurs,Philadelphia 76ers,
792,16,03/02/2023 18:00,Vivint Arena,Utah Jazz,Atlanta Hawks,
793,16,04/02/2023 15:00,Barclays Center,Brooklyn Nets,Washington Wizards,
794,16,04/02/2023 16:00,Little Caesars Arena,Detroit Pistons,Phoenix Suns,
795,16,04/02/2023 16:00,Madison Square Garden,New York Knicks,LA Clippers,
796,16,04/02/2023 17:00,United Center,Chicago Bulls,Portland Trail Blazers,
797,16,04/02/2023 17:00,Fiserv Forum,Milwaukee Bucks,Miami Heat,
798,16,04/02/2023 17:00,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,
799,16,04/02/2023 17:00,Paycom Center,Oklahoma City Thunder,Houston Rockets,
800,16,04/02/2023 17:30,Chase Center,Golden State Warriors,Dallas Mavericks,
801,16,04/02/2023 18:00,Ball Arena,Denver Nuggets,Atlanta Hawks,
802,16,05/02/2023 10:00,Spectrum Center,Charlotte Hornets,Orlando Magic,
803,16,05/02/2023 14:00,Gainbridge Fieldhouse,Indiana Pacers,Cleveland Cavaliers,
804,16,05/02/2023 15:00,Madison Square Garden,New York Knicks,Philadelphia 76ers,
805,16,05/02/2023 15:00,FedExForum,Memphis Grizzlies,Toronto Raptors,
806,16,05/02/2023 16:00,Target Center,Minnesota Timberwolves,Denver Nuggets,
807,16,05/02/2023 16:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,
808,16,06/02/2023 16:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,
809,16,06/02/2023 16:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,
810,16,06/02/2023 16:30,Barclays Center,Brooklyn Nets,LA Clippers,
811,16,06/02/2023 17:00,United Center,Chicago Bulls,San Antonio Spurs,
812,16,06/02/2023 17:00,Toyota Center,Houston Rockets,Sacramento Kings,
813,16,06/02/2023 18:00,Vivint Arena,Utah Jazz,Dallas Mavericks,
814,16,06/02/2023 19:00,Chase Center,Golden State Warriors,Oklahoma City Thunder,
815,16,06/02/2023 19:00,Moda Center,Portland Trail Blazers,Milwaukee Bucks,
816,16,07/02/2023 16:00,Amway Center,Orlando Magic,New York Knicks,
817,16,07/02/2023 16:30,Barclays Center,Brooklyn Nets,Phoenix Suns,
818,16,07/02/2023 16:30,Smoothie King Center,New Orleans Pelicans,Atlanta Hawks,
819,16,07/02/2023 17:00,FedExForum,Memphis Grizzlies,Chicago Bulls,
820,16,07/02/2023 19:00,Ball Arena,Denver Nuggets,Minnesota Timberwolves,
821,16,07/02/2023 19:30,Crypto.com Arena,Los Angeles Lakers,Oklahoma City Thunder,
822,16,08/02/2023 16:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Detroit Pistons,
823,16,08/02/2023 16:00,Capital One Arena,Washington Wizards,Charlotte Hornets,
824,16,08/02/2023 16:30,TD Garden,Boston Celtics,Philadelphia 76ers,
825,16,08/02/2023 16:30,FTX Arena,Miami Heat,Indiana Pacers,
826,16,08/02/2023 16:30,Scotiabank Arena,Toronto Raptors,San Antonio Spurs,
827,16,08/02/2023 17:00,Toyota Center,Houston Rockets,Sacramento Kings,
828,16,08/02/2023 18:00,Vivint Arena,Utah Jazz,Minnesota Timberwolves,
829,16,08/02/2023 19:00,Crypto.com Arena,LA Clippers,Dallas Mavericks,
830,16,08/02/2023 19:00,Moda Center,Portland Trail Blazers,Golden State Warriors,
831,17,09/02/2023 16:00,Amway Center,Orlando Magic,Denver Nuggets,
832,17,09/02/2023 16:30,State Farm Arena,Atlanta Hawks,Phoenix Suns,
833,17,09/02/2023 16:30,Barclays Center,Brooklyn Nets,Chicago Bulls,
834,17,09/02/2023 19:00,Crypto.com Arena,Los Angeles Lakers,Milwaukee Bucks,
835,17,10/02/2023 16:00,Little Caesars Arena,Detroit Pistons,San Antonio Spurs,
836,17,10/02/2023 16:00,Gainbridge Fieldhouse,Indiana Pacers,Phoenix Suns,
837,17,10/02/2023 16:00,Wells Fargo Center,Philadelphia 76ers,New York Knicks,
838,17,10/02/2023 16:30,TD Garden,Boston Celtics,Charlotte Hornets,
839,17,10/02/2023 16:30,Scotiabank Arena,Toronto Raptors,Utah Jazz,
840,17,10/02/2023 17:00,FTX Arena,Miami Heat,Houston Rockets,
841,17,10/02/2023 17:00,FedExForum,Memphis Grizzlies,Minnesota Timberwolves,
842,17,10/02/2023 19:00,Smoothie King Center,New Orleans Pelicans,Cleveland Cavaliers,
843,17,10/02/2023 19:00,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,
844,17,10/02/2023 19:00,Golden 1 Center,Sacramento Kings,Dallas Mavericks,
845,17,10/02/2023 19:30,Crypto.com Arena,LA Clippers,Milwaukee Bucks,
846,17,11/02/2023 15:00,Barclays Center,Brooklyn Nets,Philadelphia 76ers,
847,17,11/02/2023 16:00,Spectrum Center,Charlotte Hornets,Denver Nuggets,
848,17,11/02/2023 16:00,Amway Center,Orlando Magic,Miami Heat,
849,17,11/02/2023 16:00,Capital One Arena,Washington Wizards,Indiana Pacers,
850,17,11/02/2023 16:30,State Farm Arena,Atlanta Hawks,San Antonio Spurs,
851,17,11/02/2023 16:30,Madison Square Garden,New York Knicks,Utah Jazz,
852,17,11/02/2023 17:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Chicago Bulls,
853,17,11/02/2023 17:30,Chase Center,Golden State Warriors,Los Angeles Lakers,
854,17,11/02/2023 19:00,Golden 1 Center,Sacramento Kings,Dallas Mavericks,
855,17,12/02/2023 11:00,TD Garden,Boston Celtics,Memphis Grizzlies,
856,17,12/02/2023 12:00,Scotiabank Arena,Toronto Raptors,Detroit Pistons,
857,17,13/02/2023 16:00,Spectrum Center,Charlotte Hornets,Atlanta Hawks,
858,17,13/02/2023 16:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,San Antonio Spurs,
859,17,13/02/2023 16:00,Gainbridge Fieldhouse,Indiana Pacers,Utah Jazz,
860,17,13/02/2023 16:00,Wells Fargo Center,Philadelphia 76ers,Houston Rockets,
861,17,13/02/2023 16:30,FTX Arena,Miami Heat,Denver Nuggets,
862,17,13/02/2023 16:30,Madison Square Garden,New York Knicks,Brooklyn Nets,
863,17,13/02/2023 17:00,United Center,Chicago Bulls,Orlando Magic,
864,17,13/02/2023 17:00,Paycom Center,Oklahoma City Thunder,New Orleans Pelicans,
865,17,13/02/2023 17:30,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,
866,17,13/02/2023 19:00,Chase Center,Golden State Warriors,Washington Wizards,
867,17,13/02/2023 19:00,Moda Center,Portland Trail Blazers,Los Angeles Lakers,
868,17,14/02/2023 16:30,Scotiabank Arena,Toronto Raptors,Orlando Magic,
869,17,14/02/2023 16:30,Fiserv Forum,Milwaukee Bucks,Boston Celtics,
870,17,14/02/2023 18:00,Footprint Center,Phoenix Suns,Sacramento Kings,
871,17,14/02/2023 19:00,Crypto.com Arena,LA Clippers,Golden State Warriors,
872,17,14/02/2023 19:00,Moda Center,Portland Trail Blazers,Washington Wizards,
873,17,15/02/2023 16:00,Spectrum Center,Charlotte Hornets,San Antonio Spurs,
874,17,15/02/2023 16:00,Gainbridge Fieldhouse,Indiana Pacers,Chicago Bulls,
875,17,15/02/2023 16:00,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,
876,17,15/02/2023 16:30,State Farm Arena,Atlanta Hawks,New York Knicks,
877,17,15/02/2023 16:30,TD Garden,Boston Celtics,Detroit Pistons,
878,17,15/02/2023 16:30,Barclays Center,Brooklyn Nets,Miami Heat,
879,17,15/02/2023 17:00,FedExForum,Memphis Grizzlies,Utah Jazz,
880,17,15/02/2023 17:00,Paycom Center,Oklahoma City Thunder,Houston Rockets,
881,17,15/02/2023 18:00,Ball Arena,Denver Nuggets,Dallas Mavericks,
882,17,15/02/2023 19:00,Crypto.com Arena,Los Angeles Lakers,New Orleans Pelicans,
883,17,16/02/2023 16:30,United Center,Chicago Bulls,Milwaukee Bucks,
884,17,16/02/2023 17:00,Target Center,Minnesota Timberwolves,Washington Wizards,
885,17,16/02/2023 19:00,Footprint Center,Phoenix Suns,LA Clippers,
886,18,23/02/2023 16:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Denver Nuggets,
887,18,23/02/2023 16:00,Gainbridge Fieldhouse,Indiana Pacers,Boston Celtics,
888,18,23/02/2023 16:00,Amway Center,Orlando Magic,Detroit Pistons,
889,18,23/02/2023 16:30,Wells Fargo Center,Philadelphia 76ers,Memphis Grizzlies,
890,18,23/02/2023 16:30,Scotiabank Arena,Toronto Raptors,New Orleans Pelicans,
891,18,23/02/2023 17:30,American Airlines Center,Dallas Mavericks,San Antonio Spurs,
892,18,23/02/2023 18:00,Vivint Arena,Utah Jazz,Oklahoma City Thunder,
893,18,23/02/2023 19:00,Crypto.com Arena,Los Angeles Lakers,Golden State Warriors,
894,18,23/02/2023 19:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,
895,18,24/02/2023 16:00,Capital One Arena,Washington Wizards,New York Knicks,
896,18,24/02/2023 16:30,State Farm Arena,Atlanta Hawks,Cleveland Cavaliers,
897,18,24/02/2023 16:30,Fiserv Forum,Milwaukee Bucks,Miami Heat,
898,18,24/02/2023 17:00,Target Center,Minnesota Timberwolves,Charlotte Hornets,
899,18,24/02/2023 18:00,Footprint Center,Phoenix Suns,Oklahoma City Thunder,
900,18,24/02/2023 19:00,United Center,Chicago Bulls,Brooklyn Nets,
901,18,24/02/2023 19:00,Chase Center,Golden State Warriors,Houston Rockets,
902,18,24/02/2023 19:30,Crypto.com Arena,LA Clippers,Sacramento Kings,
903,18,25/02/2023 09:00,Little Caesars Arena,Detroit Pistons,Toronto Raptors,
904,18,25/02/2023 16:00,Spectrum Center,Charlotte Hornets,Miami Heat,
905,18,25/02/2023 16:00,Amway Center,Orlando Magic,Indiana Pacers,
906,18,25/02/2023 16:30,Madison Square Garden,New York Knicks,New Orleans Pelicans,
907,18,25/02/2023 17:00,FedExForum,Memphis Grizzlies,Denver Nuggets,
908,18,25/02/2023 17:30,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,
909,18,25/02/2023 18:00,Vivint Arena,Utah Jazz,San Antonio Spurs,
910,18,26/02/2023 10:00,Fiserv Forum,Milwaukee Bucks,Phoenix Suns,
911,18,26/02/2023 12:00,State Farm Arena,Atlanta Hawks,Brooklyn Nets,
912,18,26/02/2023 12:30,United Center,Chicago Bulls,Washington Wizards,
913,18,26/02/2023 12:30,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,
914,18,26/02/2023 15:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Toronto Raptors,
915,18,26/02/2023 16:00,Paycom Center,Oklahoma City Thunder,Sacramento Kings,
916,18,26/02/2023 16:30,Chase Center,Golden State Warriors,Minnesota Timberwolves,
917,18,26/02/2023 18:00,Moda Center,Portland Trail Blazers,Houston Rockets,
918,18,26/02/2023 19:00,Ball Arena,Denver Nuggets,LA Clippers,
919,18,27/02/2023 16:00,Spectrum Center,Charlotte Hornets,Detroit Pistons,
920,18,27/02/2023 16:00,Wells Fargo Center,Philadelphia 76ers,Miami Heat,
921,18,27/02/2023 16:30,Madison Square Garden,New York Knicks,Boston Celtics,
922,18,27/02/2023 17:00,Smoothie King Center,New Orleans Pelicans,Orlando Magic,
923,18,28/02/2023 16:30,State Farm Arena,Atlanta Hawks,Washington Wizards,
924,18,28/02/2023 16:30,Barclays Center,Brooklyn Nets,Milwaukee Bucks,
925,18,28/02/2023 16:30,Scotiabank Arena,Toronto Raptors,Chicago Bulls,
926,18,28/02/2023 17:00,Toyota Center,Houston Rockets,Denver Nuggets,
927,18,28/02/2023 17:00,FedExForum,Memphis Grizzlies,Los Angeles Lakers,
928,18,28/02/2023 17:00,Paycom Center,Oklahoma City Thunder,Sacramento Kings,
929,18,28/02/2023 17:30,American Airlines Center,Dallas Mavericks,Indiana Pacers,
930,18,28/02/2023 18:00,Vivint Arena,Utah Jazz,San Antonio Spurs,
931,18,28/02/2023 19:00,Chase Center,Golden State Warriors,Portland Trail Blazers,
932,18,28/02/2023 19:00,Crypto.com Arena,LA Clippers,Minnesota Timberwolves,
933,18,01/03/2023 16:00,Spectrum Center,Charlotte Hornets,Phoenix Suns,
934,18,01/03/2023 16:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,
935,18,01/03/2023 16:30,TD Garden,Boston Celtics,Cleveland Cavaliers,
936,18,01/03/2023 16:30,FTX Arena,Miami Heat,Philadelphia 76ers,
937,18,01/03/2023 16:30,Madison Square Garden,New York Knicks,Brooklyn Nets,
938,18,01/03/2023 17:00,Toyota Center,Houston Rockets,Memphis Grizzlies,
939,18,01/03/2023 17:00,Fiserv Forum,Milwaukee Bucks,Orlando Magic,
940,18,01/03/2023 17:00,Paycom Center,Oklahoma City Thunder,Los Angeles Lakers,
941,18,01/03/2023 19:00,Moda Center,Portland Trail Blazers,New Orleans Pelicans,
942,19,02/03/2023 16:00,Capital One Arena,Washington Wizards,Toronto Raptors,
943,19,02/03/2023 16:30,American Airlines Center,Dallas Mavericks,Philadelphia 76ers,
944,19,02/03/2023 17:30,AT&T Center,San Antonio Spurs,Indiana Pacers,
945,19,02/03/2023 19:00,Chase Center,Golden State Warriors,LA Clippers,
946,19,03/03/2023 16:00,Spectrum Center,Charlotte Hornets,Orlando Magic,
947,19,03/03/2023 16:30,State Farm Arena,Atlanta Hawks,Portland Trail Blazers,
948,19,03/03/2023 16:30,TD Garden,Boston Celtics,Brooklyn Nets,
949,19,03/03/2023 17:00,FTX Arena,Miami Heat,New York Knicks,
950,19,03/03/2023 17:00,United Center,Chicago Bulls,Phoenix Suns,
951,19,03/03/2023 17:00,Paycom Center,Oklahoma City Thunder,Utah Jazz,
952,19,03/03/2023 19:00,Ball Arena,Denver Nuggets,Memphis Grizzlies,
953,19,03/03/2023 19:00,Chase Center,Golden State Warriors,New Orleans Pelicans,
954,19,03/03/2023 19:00,Golden 1 Center,Sacramento Kings,LA Clippers,
955,19,03/03/2023 19:30,Crypto.com Arena,Los Angeles Lakers,Minnesota Timberwolves,
956,19,04/03/2023 14:00,Capital One Arena,Washington Wizards,Toronto Raptors,
957,19,04/03/2023 16:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Detroit Pistons,
958,19,04/03/2023 17:00,FTX Arena,Miami Heat,Atlanta Hawks,
959,19,04/03/2023 17:00,AT&T Center,San Antonio Spurs,Houston Rockets,
960,19,04/03/2023 17:30,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,
961,19,04/03/2023 19:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,
962,19,05/03/2023 10:00,American Airlines Center,Dallas Mavericks,Phoenix Suns,
963,19,05/03/2023 12:30,United Center,Chicago Bulls,Indiana Pacers,
964,19,05/03/2023 12:30,Crypto.com Arena,Los Angeles Lakers,Golden State Warriors,
965,19,05/03/2023 15:00,Barclays Center,Brooklyn Nets,Charlotte Hornets,
966,19,05/03/2023 15:00,Amway Center,Orlando Magic,Portland Trail Blazers,
967,19,05/03/2023 16:00,Toyota Center,Houston Rockets,San Antonio Spurs,
968,19,05/03/2023 16:00,Paycom Center,Oklahoma City Thunder,Utah Jazz,
969,19,05/03/2023 16:30,TD Garden,Boston Celtics,New York Knicks,
970,19,05/03/2023 19:00,Crypto.com Arena,LA Clippers,Memphis Grizzlies,
971,19,06/03/2023 16:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Boston Celtics,
972,19,06/03/2023 16:00,Gainbridge Fieldhouse,Indiana Pacers,Philadelphia 76ers,
973,19,06/03/2023 16:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,
974,19,06/03/2023 16:30,FTX Arena,Miami Heat,Atlanta Hawks,
975,19,06/03/2023 18:00,Ball Arena,Denver Nuggets,Toronto Raptors,
976,19,06/03/2023 19:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,
